Number_of_Appliances,Daily_Peak_Hours,Aircon_Usage_Hours,Refrigerator_Count,Washing_Machine_Usage,Household_Size,Month,kWh_Consumption
3,3.48,0.82,2,2.33,1,11,30.22707430360711
9,3.01,1.65,1,2.59,1,3,38.94315719572261
10,3.07,3.78,1,0.94,3,9,49.73747694475926
14,2.64,2.6,1,1.61,3,7,51.71537991650127
13,1.29,1.02,2,2.52,3,2,43.05367011420224
6,1.13,4.39,2,2.97,5,9,56.02603809656505
10,7.91,4.4,2,2.67,3,4,70.8206218918465
10,3.99,4.35,2,1.11,2,9,63.36482868975416
6,3.69,1.19,2,0.59,1,2,34.60925275636366
1,5.76,2.26,1,1.47,5,12,41.45199624772611
4,2.53,4.92,2,2.22,1,10,52.508937634409044
10,7.65,3.86,2,1.48,3,12,71.44228912487833
6,6.5,0.14,1,1.45,5,4,41.207209522288515
6,1.63,0.33,2,2.51,4,5,31.446529946037543
11,3.92,2.32,1,1.08,2,2,47.224493364400715
12,7.15,4.55,1,2.58,3,10,73.70343952756309
5,7.61,2.69,1,1.22,3,1,43.412032659383215
1,4.27,2.49,1,0.98,2,7,36.35047388775721
8,5.29,0.53,1,1.36,2,10,39.4046296252974
5,2.17,3.28,2,2.29,4,1,40.095828181020416
12,7.94,4.11,1,0.38,3,11,67.30843931786589
12,2.62,1.9,1,0.59,3,11,47.03957262475492
12,7.6,3.88,2,2.85,1,8,67.98252656354721
5,5.55,4.82,2,0.53,5,3,62.444685276495576
7,5.25,1.02,1,1.7,5,10,48.793405472034316
4,4.59,2.62,2,1.74,1,6,41.112529523261465
6,2.61,1.44,2,1.47,5,7,39.88332343593877
13,2.24,3.96,1,1.93,2,10,58.24629597989204
4,2.54,2.89,1,0.69,5,1,37.30975830257995
14,2.31,3.17,2,1.66,5,6,59.51249431859423
3,6.46,3.99,1,1.12,1,7,36.48361017203013
7,3.45,1.98,1,1.99,4,6,48.54443562679884
8,1.4,4.58,2,0.42,5,4,54.041253891334435
4,7.78,2.67,1,1.71,5,1,48.795069664212775
13,7.19,0.79,1,0.56,4,11,54.42550739015586
2,7.49,3.48,1,0.84,1,9,45.819826754397724
12,7.96,3.97,1,0.66,4,4,64.79905246606366
10,2.22,1.58,1,0.55,1,7,33.423062040824156
14,3.77,4.29,2,2.48,2,7,61.9341616705129
3,6.31,4.53,2,0.86,1,2,45.926863210136815
1,5.87,1.38,1,2.78,2,1,28.849977799869563
8,2.08,4.92,2,2.91,2,8,61.53276647412291
3,6.71,0.7,1,1.71,1,8,35.513869440293185
12,2.57,1.01,1,0.43,3,7,37.40460268659969
10,2.57,0.92,1,1.12,1,8,27.48903757868782
7,4.76,4.47,1,2.39,5,3,59.17736215850563
10,5.15,3.27,1,1.1,5,11,58.58537335302206
5,5.06,0.76,2,0.26,3,2,32.101212539899606
10,1.64,2.2,2,1.67,2,7,47.9878124272931
5,7.14,3.08,1,2.54,3,8,54.17595787641856
14,2.86,0.42,2,2.39,5,1,44.67086105443976
7,1.91,4.41,1,0.53,3,12,47.31076089812286
9,7.22,4.02,2,2.02,1,10,63.79216592904511
12,7.69,2.53,1,0.66,3,9,56.63076171343108
5,7.03,4.84,2,0.65,2,11,61.34280712791715
1,6.67,2.09,1,2.62,1,4,40.108426133205896
10,5.59,4.92,1,0.75,4,12,63.14065276520165
10,4.86,3.34,2,0.79,5,4,58.7633383044269
1,1.61,3.17,2,0.0,5,3,38.31514994800817
2,3.86,0.83,1,2.61,3,6,30.33143799254567
14,3.61,4.41,2,2.38,1,1,65.19474268535295
6,2.82,2.14,1,1.88,4,6,40.23818252365361
9,6.06,0.81,2,2.25,1,2,43.18248423827091
8,4.47,0.06,2,0.46,5,9,41.482354797026524
13,1.57,2.8,1,1.37,1,2,43.1639926852106
5,2.54,2.64,2,1.05,4,7,49.35202805157
1,5.78,3.6,2,0.28,3,12,49.85274054099577
13,1.53,4.45,1,1.46,2,1,58.13895649615077
7,6.96,0.4,2,2.76,1,12,48.6530718390823
5,4.47,3.66,1,0.12,2,7,45.46186780785023
6,4.36,0.94,1,0.87,5,5,41.31736826707942
13,5.15,4.29,1,0.62,3,8,64.55374413357575
7,6.77,4.1,1,0.71,3,4,53.270674150476914
3,3.43,2.7,1,2.73,1,12,40.86445769468889
12,5.75,3.55,2,1.4,3,10,62.5314992627546
10,4.96,1.57,1,1.4,1,7,37.264887015670595
3,2.87,2.36,1,2.28,1,6,31.542373270822917
5,7.15,4.11,2,0.46,2,5,54.98864459891263
6,6.58,2.3,2,1.46,3,4,52.26577435646424
9,5.61,1.79,2,1.29,1,7,44.68344238627094
13,6.95,2.47,1,1.79,2,12,64.36048736058146
14,7.07,4.14,1,3.0,4,5,69.70795104257937
12,5.96,1.68,1,2.31,2,5,48.68143260158165
5,6.86,0.87,2,1.19,2,1,41.797469810189355
1,5.88,3.56,1,2.48,1,2,41.66286305988749
14,5.76,4.13,2,0.51,5,5,69.66913416414607
14,5.33,0.5,1,0.09,5,3,47.045839969723474
14,6.27,1.2,2,0.61,5,2,51.640790247845864
4,2.11,0.71,1,1.02,2,4,22.817455614278533
5,7.17,1.74,1,1.53,1,4,40.10798347437966
12,7.1,2.25,1,1.85,3,4,60.3441428085383
10,1.2,3.74,2,2.73,2,4,47.5487485820958
10,6.78,3.26,2,1.53,2,3,63.708970946127316
5,1.9,3.1,1,1.5,1,12,39.92605678502487
7,3.35,1.76,1,0.15,4,7,35.46833125309897
4,6.2,4.21,1,0.1,2,9,46.27509585159683
1,2.13,2.36,2,1.65,4,12,39.67944795101262
14,6.73,4.9,1,1.31,4,5,69.03837155979443
14,6.82,3.17,1,2.52,5,4,66.3496293647207
5,4.55,0.63,1,0.48,1,11,29.960290817366605
7,1.04,3.38,1,0.07,4,2,43.05102721821447
10,3.01,1.63,2,1.35,1,2,43.425360377791925
10,5.32,3.43,2,0.71,5,5,58.28102282964313
6,7.87,0.35,1,0.15,1,7,34.15195048933724
5,5.42,0.87,1,2.17,2,10,33.24384529947277
4,2.82,4.28,2,0.33,4,10,44.58271346026884
2,5.44,1.14,2,1.82,1,9,31.53284265722214
4,4.78,4.19,1,0.84,3,7,52.55929208397744
10,6.46,1.4,2,0.52,1,5,48.30024216666438
10,1.75,3.21,2,1.14,4,10,54.98030878778984
3,6.33,3.47,1,2.4,5,10,50.43712654013827
10,4.79,2.56,2,1.18,5,10,56.10502126782656
1,7.74,1.53,2,2.25,4,6,41.556536915464136
8,3.39,1.06,1,0.38,2,11,35.84200488813832
5,5.43,0.17,1,2.32,2,12,35.16283933010365
13,7.52,1.52,2,0.71,5,3,55.554129429912514
4,1.72,3.27,1,2.03,5,5,43.89765042369563
8,7.56,4.69,2,1.7,4,8,70.65683914061272
7,5.82,4.36,1,2.79,2,1,53.833530702721156
2,1.47,3.83,2,1.16,5,12,47.82283517489759
1,3.11,3.94,1,0.2,2,1,37.692856104991556
12,5.96,3.32,2,0.06,5,7,67.92418233136974
11,1.47,1.3,2,2.48,1,5,42.37198646982957
4,5.08,4.54,2,1.57,3,5,56.38380383022807
8,3.42,3.35,1,2.33,1,1,44.529583257927065
12,5.35,2.8,1,0.7,5,9,62.18913868660548
2,1.32,0.55,2,1.04,3,1,18.25894564598064
3,7.1,2.24,2,0.09,3,5,45.82155043022449
12,7.81,2.3,1,2.88,5,10,65.51718579745759
1,7.78,4.32,1,2.0,5,9,62.13281048160519
1,6.25,2.73,1,2.8,2,4,43.01461922112022
13,1.91,1.9,1,0.8,5,8,48.7164013067807
3,6.31,4.88,1,1.83,4,6,56.470537053287174
11,1.17,0.55,1,2.04,5,11,43.246838563345314
5,1.15,2.11,2,0.95,4,3,37.181373043058166
12,3.27,0.21,1,2.54,5,4,41.97497098649842
3,4.42,3.7,2,2.84,2,2,47.79550727480504
1,6.39,4.59,1,2.65,4,1,54.7191702620458
1,5.78,1.4,1,2.22,1,8,28.90993122635925
8,4.12,4.29,2,0.83,4,1,58.02763466166113
10,2.92,1.46,2,0.84,2,11,45.88364373507806
11,7.98,4.55,1,2.89,4,1,74.04994242668448
12,3.98,3.77,2,0.03,5,4,58.223038896090294
13,4.16,4.02,2,2.15,5,10,70.73714825827867
13,2.15,0.09,2,2.12,2,12,44.10520512801469
12,6.56,4.81,2,1.87,3,10,76.62638955160071
14,5.86,3.63,1,2.97,5,6,71.59735078748301
2,2.55,1.52,2,0.94,1,9,25.861334703563173
13,1.58,4.15,1,1.02,2,1,52.823132098584935
3,5.76,1.41,1,0.24,4,7,42.062686322811224
2,5.58,4.36,1,1.33,4,10,54.45527272788395
3,2.91,0.56,1,0.78,1,11,29.5941408336098
7,7.66,3.52,2,1.03,5,5,64.60918413188445
1,2.06,2.7,2,2.5,2,12,43.20720580631523
10,4.03,0.48,1,2.81,1,8,40.509905982954116
8,7.61,1.21,1,0.56,5,7,49.95553532883635
13,3.94,0.06,1,1.12,2,4,38.686553269924126
10,5.47,2.34,1,2.79,4,4,54.23302259514857
10,3.78,1.51,2,0.19,2,6,44.71658494020731
10,2.92,2.99,1,0.28,3,6,45.2869941829784
14,7.89,1.49,2,0.49,2,9,64.3661469480439
2,3.87,1.5,1,1.79,3,12,32.53596109693518
3,7.26,3.72,1,0.45,2,5,49.45416435975148
9,2.61,0.24,1,2.9,3,8,41.356014251910764
7,2.49,4.51,1,1.34,4,5,51.68013473811879
4,1.22,4.26,2,1.5,5,2,43.9010680665855
10,5.56,3.34,2,0.74,3,6,61.266588767847054
5,3.58,2.97,2,1.41,3,9,47.94018593015077
2,7.05,4.46,1,1.99,4,3,56.31994821780523
13,4.31,0.93,1,2.25,3,1,44.941636203488045
11,7.78,0.39,2,2.26,1,1,51.72577404696719
13,2.3,1.2,2,1.73,4,3,40.708975843380955
8,7.08,3.97,1,2.71,1,10,62.05853265385121
4,6.44,0.17,1,2.45,4,5,40.15524845125479
9,6.4,2.91,2,2.27,3,3,57.70601713448819
5,6.91,4.98,1,0.17,1,9,56.467076079050734
13,6.33,4.28,1,0.02,3,8,63.79796456229897
9,5.38,2.61,2,0.64,4,3,52.15206552359985
4,1.92,0.32,1,1.99,3,9,22.404430160591083
10,1.23,4.16,2,1.23,1,6,49.06470600214093
5,7.45,2.99,1,1.21,1,7,45.40973461869332
9,5.32,0.57,2,2.65,3,4,46.79737197308789
8,6.58,0.47,1,2.69,2,4,39.1758907221368
3,4.37,4.55,2,2.73,4,12,57.82257335018054
1,1.82,3.35,2,0.94,4,2,35.636229919144576
3,1.88,4.15,2,2.07,3,5,43.90406589245405
4,5.8,4.39,2,0.81,2,8,54.977066807785086
2,4.01,2.86,1,0.57,1,7,35.592894408298726
1,2.4,2.59,1,0.55,5,7,36.82505573916528
7,4.44,2.15,2,1.03,5,6,50.64825024686383
8,1.45,1.58,1,1.29,3,3,36.038273234954104
7,5.07,2.17,1,2.49,2,5,43.983094998007665
14,2.88,3.87,1,0.36,2,1,52.15068874898636
5,6.58,3.01,1,2.2,4,7,49.996366992954634
12,3.17,4.46,1,1.59,1,9,56.1522689333177
1,4.19,2.22,2,0.86,2,1,32.78278422903779
7,1.08,3.04,2,1.48,5,2,43.16175187765976
13,1.51,3.16,2,0.9,1,3,53.524972400067874
7,3.75,2.96,2,1.79,1,3,45.26749753077652
9,4.36,3.51,1,1.3,3,8,58.374170321478616
3,5.2,1.19,1,0.49,2,7,33.0453011637135
9,3.04,2.56,2,0.35,3,6,44.24829069658486
14,5.86,0.52,1,1.64,2,10,49.41386143425455
1,7.02,1.92,1,2.71,4,10,39.53964297664685
1,6.46,2.44,2,1.03,3,11,45.25127606519585
14,1.28,3.26,1,2.2,3,4,51.70269477646404
4,4.36,4.75,2,1.98,5,9,57.08962597535422
9,1.73,3.0,2,2.79,3,1,53.10644027564414
6,2.69,3.72,1,2.46,2,11,52.49176322295287
13,7.91,2.53,1,1.7,5,2,65.87911693628739
11,2.0,3.17,2,1.97,3,4,55.13633382995283
3,4.49,0.35,2,2.7,3,3,28.925332867622654
1,5.33,1.27,1,1.2,4,1,29.208561521579483
4,5.92,1.81,2,0.98,3,5,40.83148907559034
12,4.92,2.36,2,0.03,1,7,45.57078877770321
13,1.07,0.23,2,2.48,5,2,40.57899671546803
9,3.29,0.7,1,2.4,1,5,33.74170607314886
3,4.62,1.38,2,0.31,5,6,38.13799684248489
12,1.62,4.86,1,1.73,4,11,71.09716280071504
9,3.45,1.66,2,1.39,3,7,45.41731117018578
7,1.23,2.41,1,0.36,3,1,34.10954336370901
12,1.55,0.98,2,2.94,3,7,45.129369181707574
14,3.78,3.05,1,0.64,5,4,59.80313864016124
4,1.93,1.4,1,0.2,3,8,25.53824837406267
3,4.97,1.03,1,1.78,1,4,35.338112485461814
10,5.83,2.58,2,2.22,3,6,57.12752237759954
5,6.6,0.03,2,0.1,4,9,36.364430500906806
5,2.4,0.04,2,1.98,1,5,29.3701112209914
3,2.17,1.1,1,1.6,3,12,28.36723222386544
12,1.73,0.18,2,0.31,3,4,37.63775294916601
9,5.46,0.54,1,0.52,2,8,42.37551016678608
4,5.95,1.69,2,1.7,5,9,47.02597168279097
11,1.22,4.01,1,0.89,1,4,53.42852483923961
5,7.55,2.86,1,2.81,2,3,51.95287457878376
4,1.36,2.56,1,2.46,4,8,41.41008277899329
5,4.79,1.47,2,2.95,5,5,50.427596005557966
7,5.96,4.66,2,0.78,1,2,60.67220486390912
9,7.1,1.99,2,2.91,3,10,59.755516959219136
7,6.0,0.44,1,1.29,1,9,38.670716324130815
13,6.61,3.09,1,1.04,3,3,63.43902447948278
5,3.38,0.57,2,0.15,5,12,33.42456677091569
10,6.7,1.73,2,0.16,3,2,43.68149280110205
10,1.56,2.54,2,2.08,4,1,47.307338238782286
7,7.26,4.37,1,1.37,3,8,55.849525927741865
14,4.83,2.47,1,0.68,4,11,57.928014711076145
10,6.72,3.51,1,1.84,5,3,62.613120602597405
5,4.17,4.96,1,0.76,5,7,55.333083701834624
3,5.51,0.66,1,1.73,1,1,26.855220855688927
7,4.68,1.37,2,1.08,4,1,38.36500045913723
13,6.12,1.97,1,2.47,4,12,63.89443063191283
11,1.57,2.11,1,2.46,2,9,42.41960989863298
11,1.42,2.06,1,1.43,2,12,38.1912948068349
2,2.73,4.54,1,1.05,2,8,42.63798368240034
12,2.12,3.57,1,1.09,3,12,58.51505977475987
9,7.1,3.04,2,2.42,2,3,58.479492375648924
10,2.53,1.55,1,0.98,4,6,38.27560895475929
10,7.83,4.12,1,0.63,3,11,65.82585290221901
12,3.36,4.78,1,0.25,5,3,62.43491111430505
1,2.27,4.11,2,1.4,1,12,43.16095007455678
13,6.53,0.01,2,1.45,2,4,45.71624725933424
6,5.61,3.18,2,2.52,5,1,56.61811604492824
7,4.49,0.26,1,0.66,4,5,28.384719291539565
14,4.89,1.29,2,1.14,1,1,44.828133827712264
13,6.03,0.3,1,2.43,5,1,45.00437570658407
8,2.6,3.02,1,2.47,1,10,50.78515911596446
10,7.97,3.43,2,1.15,2,11,67.02609516296516
9,7.82,0.57,1,1.38,4,11,49.80537510294205
2,5.55,1.92,1,0.91,1,7,29.16813503994157
11,2.4,2.28,1,2.8,5,12,57.03244336684436
10,5.76,1.85,2,0.36,2,6,52.649620404975444
2,1.51,0.61,1,2.8,2,2,23.38448420939069
5,1.21,2.09,1,2.05,5,11,40.364467750489325
13,2.8,3.76,2,1.59,5,12,68.47515409555184
5,4.24,0.36,1,0.1,1,2,24.298748342758067
6,7.08,0.4,1,1.43,3,11,43.79822870091921
3,6.09,1.77,2,1.22,2,7,43.18105692537886
8,6.2,4.71,1,0.48,1,1,53.24680339016902
13,3.98,3.34,1,1.97,5,2,57.61807585134766
1,3.42,3.39,1,2.91,1,12,40.410531177941465
6,3.6,1.81,1,1.69,5,8,44.7375510050148
4,7.91,2.97,1,2.14,4,6,51.93168104460658
1,1.28,0.05,2,0.21,5,2,16.97841114553853
7,7.07,3.18,2,1.25,5,7,60.03713988624038
9,5.05,4.57,2,0.35,5,4,65.97237079200686
13,4.07,3.06,2,1.84,3,2,58.525324201402185
4,6.08,4.37,1,2.82,5,12,61.32134601199872
4,4.41,3.62,1,1.99,2,6,46.861295378840296
6,7.11,0.6,1,0.23,2,11,38.4321176271496
12,7.3,4.51,1,1.06,1,9,60.469088876970964
3,3.95,0.33,1,1.65,3,11,32.440277429057474
13,2.94,2.67,2,1.21,1,9,54.372375319841325
12,5.15,0.71,2,2.5,2,8,49.89851539683724
6,7.39,0.06,1,2.44,2,3,39.64707010216876
7,2.47,2.11,1,1.84,4,3,43.8089980927506
11,5.36,1.48,1,1.12,5,2,50.756305984420656
10,5.42,2.43,2,0.77,2,5,48.479097551893396
10,6.13,2.89,1,0.32,1,12,50.402866668119124
3,1.92,0.22,1,1.06,1,4,21.41200662000595
7,6.01,0.62,1,1.24,5,7,36.468328219164405
14,7.36,2.79,2,2.03,5,4,68.78345745451367
3,2.26,1.72,1,1.97,4,9,36.37947742109325
13,2.66,3.65,2,0.21,3,12,54.738776793657486
13,7.8,3.26,2,1.19,1,12,67.9830297165509
2,2.27,4.23,2,0.55,5,2,47.15328722975786
12,6.98,3.46,2,0.47,1,11,58.74327178968957
14,4.45,2.15,2,2.48,5,6,67.08451062008247
10,2.73,3.36,2,0.13,2,7,46.99050977170327
4,7.1,1.38,1,1.26,1,4,37.84420873943109
12,4.12,1.53,1,0.5,2,6,43.639210714924104
8,4.6,3.94,1,2.64,1,7,54.388546871101354
13,3.51,2.23,2,1.67,3,4,49.65951459297754
9,5.15,3.99,1,0.69,4,8,61.91141888705918
7,2.14,4.11,2,1.51,2,9,52.8276503900507
1,3.74,4.29,2,2.19,5,1,53.67252053070947
3,7.79,4.58,2,2.87,3,7,58.94774833826292
13,2.81,2.15,1,0.66,1,9,45.646296098363926
12,5.6,1.59,2,2.66,2,12,58.09858771910662
14,3.28,2.91,2,2.8,1,10,60.39114944188478
9,6.41,1.86,1,2.75,1,5,50.12035603401726
12,1.92,3.01,1,1.91,1,12,50.62824437422837
1,7.79,3.53,2,1.89,4,2,57.87607813890206
9,4.18,3.44,2,1.21,4,10,58.59952696656454
8,2.65,1.87,1,2.26,5,6,36.017536692712994
1,1.51,0.83,1,1.59,2,12,24.102603025018112
6,2.19,2.15,1,2.03,3,12,45.474391954598545
5,4.64,0.71,2,1.29,3,7,34.140081694448405
6,3.36,4.45,1,2.19,3,2,47.88973443248629
10,6.8,1.73,1,2.47,1,2,45.168830880981226
12,4.02,0.77,1,0.44,4,10,41.54056957006861
13,2.74,0.13,2,2.5,2,12,44.19179485888201
13,5.32,3.23,1,1.62,1,10,61.75789167904766
13,5.95,3.18,1,2.53,4,1,66.43899818523808
5,2.17,1.7,1,1.29,4,4,26.6472490281884
6,2.17,0.36,1,1.14,2,7,25.784636039267628
5,1.26,2.05,1,2.75,2,9,37.178093983130196
11,6.15,1.56,2,0.75,2,3,49.208035090155576
12,5.65,3.39,2,2.53,1,12,70.50981899986867
5,4.32,3.03,2,1.45,5,11,47.1579182712538
4,6.91,1.82,1,1.54,2,7,33.7328081959345
3,6.64,1.09,2,0.93,5,7,48.27663757211477
3,5.1,4.94,2,1.72,1,7,56.10030107974201
4,7.08,2.27,2,0.98,5,2,46.25588523914127
9,2.44,3.44,1,0.12,3,6,46.83479631920387
2,1.78,0.7,1,0.82,5,2,23.929652867683203
9,2.89,2.43,2,0.02,2,6,41.68343762899206
1,1.4,0.14,2,2.94,1,10,23.8053351120743
14,4.72,2.53,1,2.9,2,3,57.454440123980355
1,7.56,4.82,1,1.19,3,2,57.646590784088474
5,1.28,1.92,2,2.19,2,12,41.930353666856625
6,1.85,0.19,1,1.04,2,6,29.947969420726224
6,4.17,0.15,2,2.01,2,2,28.079285548981318
3,7.54,1.94,1,2.42,4,5,44.57840822114643
7,3.21,0.8,2,2.84,3,2,38.826740951794875
9,4.55,0.12,2,1.2,2,3,30.336697740601114
11,1.29,3.78,1,2.35,2,3,53.72557801432784
12,2.04,2.29,2,0.8,2,6,49.05662931693379
10,7.91,1.45,2,2.97,1,6,53.40852444013841
8,7.76,4.5,2,0.08,4,10,66.62999696949764
6,1.03,0.58,1,1.81,1,3,27.341600666471244
12,7.66,4.78,1,1.98,4,3,69.2936861570891
8,5.47,1.57,1,2.06,2,12,50.79255604898686
12,7.08,4.44,2,0.36,3,1,65.32388379024114
5,4.18,3.01,1,2.82,5,7,52.81798815833075
8,4.61,4.13,2,0.54,5,8,60.71029261673696
10,4.42,4.92,2,1.87,2,2,68.87958153995356
12,5.67,1.44,1,0.67,1,4,41.717822829677424
4,1.98,4.81,1,0.92,3,10,46.6301521322692
10,1.21,1.95,2,1.64,4,7,41.43162356693351
8,3.16,1.93,2,1.25,2,8,40.179728498912034
10,5.93,1.7,1,0.48,3,1,46.45938432308355
12,2.41,2.71,1,0.51,3,4,51.690490916595195
2,5.71,0.77,1,1.25,4,6,35.24944261108082
12,7.79,2.77,2,2.27,3,3,63.9538255008194
12,1.66,2.71,2,2.69,1,5,47.56915649503185
5,5.71,3.81,2,0.25,1,10,53.66525601488145
9,4.11,4.17,2,1.18,1,9,54.08419428444249
4,7.08,2.2,2,0.3,3,11,43.71314479708272
11,2.24,1.51,1,0.05,1,3,33.70459200037029
6,5.85,1.3,1,1.99,4,5,36.57817814933451
1,6.87,0.97,2,1.81,3,8,34.065845376343255
9,7.61,0.29,2,0.49,5,6,53.30797100764846
1,5.78,1.71,1,0.7,3,4,27.809574726624792
5,4.48,1.35,1,0.07,4,8,32.78555485686257
4,5.32,4.83,1,2.5,5,11,62.00549872311999
13,7.08,2.79,1,2.92,3,3,62.82171164009005
12,4.99,1.74,2,0.41,1,3,45.79612710786344
13,1.21,2.9,1,0.69,2,4,39.78987875332666
13,7.52,0.7,2,2.61,2,9,59.30546798291337
14,5.83,2.22,1,2.78,1,5,54.99083980072601
3,5.74,3.13,1,1.26,2,8,47.8113485665247
13,2.51,2.44,1,0.15,2,6,44.08554713541346
6,5.61,2.01,2,0.12,1,3,42.45748301742173
2,3.76,4.97,2,1.72,1,8,54.1982503472383
3,5.56,4.4,1,1.18,3,12,52.079173172738535
5,1.75,3.12,2,0.09,3,9,44.42135058231694
9,5.6,2.85,2,1.75,1,8,49.96436596565081
2,8.0,3.1,1,0.03,4,4,46.351068461208484
10,1.34,1.01,1,2.36,2,11,42.61668312506452
8,7.84,1.98,2,0.92,3,6,54.47547853789237
14,3.85,0.2,2,0.12,2,1,46.65867176855972
2,7.1,2.38,2,1.77,5,4,49.86307397687346
11,6.48,2.72,1,1.19,1,8,52.8441862421775
13,4.97,1.14,1,2.92,4,1,59.002659179004496
5,6.17,4.82,2,1.63,5,3,67.10110305204265
7,7.15,4.55,1,0.83,5,1,55.401277314604805
8,3.83,3.61,1,2.13,5,9,54.617509185215056
1,3.29,2.67,2,0.81,1,2,28.43552567887603
6,5.67,4.35,2,2.71,3,9,64.44688881352717
1,6.65,0.65,1,1.12,1,4,28.503474110450366
2,6.34,3.95,1,1.65,3,2,48.920355797186495
1,6.58,0.62,2,0.15,5,4,28.67027162150315
11,4.05,3.97,1,1.28,5,12,61.59572536018486
5,6.72,1.38,1,2.5,4,11,46.892144235829065
10,1.84,4.39,2,2.42,3,11,56.00423835203783
9,4.81,4.72,2,0.67,5,10,63.94451670032633
6,1.04,0.74,1,0.68,2,6,29.209301130497195
11,3.27,2.31,1,2.45,4,11,49.32777200609124
11,3.57,4.9,1,2.79,1,7,66.08578148115544
1,3.77,2.42,2,0.29,4,3,38.493447277606506
13,5.87,4.32,1,1.35,2,3,62.16778834058656
1,3.72,2.94,1,1.01,3,12,37.21338100189694
2,4.14,1.88,2,2.61,1,10,40.8954828664359
9,2.66,1.43,2,0.25,1,12,37.60677951731311
3,3.61,1.02,1,0.63,3,8,27.36600615016163
1,2.59,3.81,2,2.26,4,5,44.678394787985816
5,1.51,1.93,2,0.15,5,4,29.579299212639246
7,5.22,2.56,1,1.48,4,7,44.850073204794874
6,5.68,2.46,2,1.33,2,7,46.87301625299554
12,5.34,2.89,2,1.0,5,9,64.5570880966378
1,4.24,4.33,1,1.18,4,9,45.08527818576396
5,3.66,4.9,2,1.59,3,5,54.90716856593495
5,7.04,2.04,1,0.48,2,12,39.89962177558711
6,4.63,4.14,1,1.72,2,8,55.197451556810954
3,4.35,3.82,2,2.42,2,10,51.80024698868294
5,1.18,2.87,2,2.28,5,1,43.695637707917655
7,3.39,4.78,2,0.46,1,9,55.5647518539547
5,3.66,1.0,1,0.45,5,8,35.45438251048436
5,3.79,0.55,2,0.8,4,6,32.978681724278005
5,5.06,4.27,1,1.08,1,3,50.51896364616092
10,4.74,2.2,2,1.23,4,3,51.910643443282325
10,5.26,4.23,2,2.04,1,8,61.75284171397973
3,6.35,4.47,2,0.17,5,5,55.86403603823849
1,6.69,0.31,1,0.1,2,10,27.54010480053378
5,6.03,4.42,2,1.18,3,11,59.49270318822407
14,7.69,2.24,2,2.09,2,7,65.59831908752373
9,1.13,2.55,1,0.58,5,5,39.862419333632886
14,2.37,3.13,1,1.92,1,8,51.14162689277908
1,1.05,4.63,2,0.78,2,10,43.98779106828591
3,5.53,0.1,2,2.66,5,10,39.444281977816615
13,7.29,2.38,2,2.69,4,4,68.27417930642929
13,2.7,3.44,1,0.89,3,2,53.606637001895585
4,7.49,3.61,1,0.69,2,3,46.25211626977131
14,1.42,3.46,1,1.23,1,8,53.825289089386025
1,7.54,0.67,1,0.72,4,11,39.46157287387681
1,3.46,1.5,2,2.02,5,7,38.30093866836376
8,1.71,1.79,1,2.48,3,2,39.82675482920039
2,4.4,4.02,1,2.02,1,6,42.924687448189786
12,2.8,1.39,1,2.47,5,9,53.4691196486415
8,2.99,1.05,2,1.19,5,4,39.36792875521107
7,3.15,4.79,2,0.47,2,9,56.205629077221545
10,6.62,0.04,1,2.21,2,2,47.568518457307796
10,4.77,4.99,1,1.08,1,2,58.76664316807698
2,3.18,3.38,2,2.01,5,9,47.0178663082244
6,5.27,4.14,2,0.81,2,12,55.590123274925794
6,6.01,1.47,2,0.24,3,7,42.63597490812896
3,2.91,0.07,2,2.98,3,7,33.183737345188234
11,3.89,3.69,2,0.47,5,1,58.107332527502145
2,1.85,4.17,2,2.97,2,11,46.0444165602848
12,2.27,3.7,2,2.93,1,6,55.44910902163393
1,5.77,0.71,2,2.38,1,7,32.80614799306894
6,2.27,3.77,1,1.98,1,11,46.47718496021638
12,4.68,3.84,1,1.73,3,6,61.88492850735707
5,5.96,3.29,1,2.6,2,6,52.82246968735469
14,1.75,3.83,1,0.87,2,2,60.5720791072285
14,4.97,4.23,1,1.4,3,6,61.0038994496972
11,2.8,3.07,1,1.86,1,4,49.730586381859325
9,7.74,0.44,2,1.23,1,9,45.93492312516487
1,4.38,2.44,2,1.28,5,12,38.98627130666823
7,6.64,0.39,1,0.99,4,1,40.958592170955185
5,4.85,2.04,1,1.69,2,8,42.04351967974584
5,1.3,2.04,2,2.55,2,5,39.29941887846047
14,5.43,0.33,2,0.6,2,1,39.11174316470695
2,7.66,1.74,2,2.8,4,4,45.95874921750537
11,5.21,0.55,1,2.07,5,1,41.57240916531711
3,6.73,4.04,2,2.47,4,6,64.58930282804182
7,7.19,4.74,1,1.67,1,2,60.85365103723315
6,2.6,0.36,1,2.34,1,5,25.637096650143615
12,2.48,4.78,2,0.05,2,7,54.850083297151194
2,5.28,2.61,2,2.46,3,2,43.61216519915126
6,3.88,1.5,1,0.12,2,6,36.77726600688308
2,6.88,0.38,2,2.67,3,6,32.29483918369221
2,7.3,2.5,2,2.98,4,5,47.764675987020496
2,3.47,3.97,1,0.88,1,5,35.23324587295813
14,2.66,3.54,2,0.63,3,3,59.88083849773176
11,6.46,0.25,1,2.3,4,10,48.16051273436646
3,2.92,0.36,1,0.76,1,10,22.176190432867482
2,6.76,2.01,2,2.6,3,11,48.29396404191691
